Orcaflex Simulation of 15 MW floating offshore wind turbine;;;;;;
;;;;;;
Time;Wind speed;Sea surface;Mooring force;Tilt;Nac. acc.;Tower mom.
(s);(m/s);(m);(kN);(deg.);(m/s2);(kNm)
0;32.98;0.47;7436.27;-5.56;-1.25;-806154.06
0.1;33.24;0.29;7457.32;-5.55;-1.25;-806570.1
0.2;33.66;0.11;7475.07;-5.53;-1.24;-806385.89
0.3;34.23;-0.06;7489.5;-5.51;-1.23;-805549.79
0.4;34.95;-0.22;7500.62;-5.49;-1.21;-804060.69
0.5;35.82;-0.36;7508.53;-5.47;-1.19;-801954.85
0.6;36.81;-0.49;7513.3;-5.45;-1.17;-799307.89
0.7;37.93;-0.61;7515.09;-5.43;-1.14;-796029.03
0.8;39.15;-0.71;7513.82;-5.41;-1.1;-791280.59
0.9;40.45;-0.8;7509.51;-5.39;-1.06;-784919.1
1;41.82;-0.87;7502.11;-5.37;-1.01;-776855.31
1.1;43.22;-0.93;7491.63;-5.34;-0.95;-767027.51
1.2;44.63;-0.99;7478.09;-5.32;-0.88;-755432.49
1.3;46.01;-1.03;7461.61;-5.29;-0.81;-741920.03
1.4;47.33;-1.08;7442.38;-5.27;-0.73;-726235.34
1.5;48.56;-1.12;7420.65;-5.25;-0.64;-708311.94
1.6;49.66;-1.16;7396.7;-5.22;-0.56;-688709
1.7;50.6;-1.21;7370.76;-5.2;-0.47;-668623.69
1.8;51.36;-1.25;7342.98;-5.17;-0.38;-648682.15
1.9;51.9;-1.3;7313.4;-5.15;-0.31;-629871.48
2;52.22;-1.35;7282.06;-5.13;-0.23;-610329.69
2.1;52.29;-1.41;7249.11;-5.11;-0.16;-590341.41
2.2;52.12;-1.47;7214.7;-5.08;-0.1;-569962.26
2.3;51.7;-1.54;7178.96;-5.06;-0.04;-550217.26
2.4;51.05;-1.6;7141.94;-5.04;0.01;-531749.68
2.5;50.19;-1.67;7103.84;-5.02;0.06;-512038.7
2.6;49.14;-1.74;7064.96;-5;0.11;-492624.46
2.7;47.95;-1.81;7025.54;-4.99;0.15;-474155.57
2.8;46.64;-1.88;6985.77;-4.97;0.18;-456881.03
2.9;45.27;-1.95;6945.72;-4.95;0.21;-440939.17
3;43.89;-2.03;6905.38;-4.94;0.23;-426688.18
3.1;42.53;-2.1;6864.7;-4.92;0.25;-415235.45
3.2;41.26;-2.18;6823.6;-4.91;0.24;-409344.79
3.3;40.11;-2.25;6782.09;-4.9;0.24;-404085.46
3.4;39.13;-2.33;6740.27;-4.89;0.24;-400171.92
3.5;38.34;-2.4;6698.11;-4.88;0.23;-398623.87
3.6;37.77;-2.48;6655.58;-4.87;0.21;-399062.08
3.7;37.44;-2.56;6612.72;-4.86;0.2;-400772.32
3.8;37.35;-2.63;6569.66;-4.85;0.19;-402154.8
3.9;37.5;-2.71;6526.57;-4.85;0.19;-402560.75
4;37.88;-2.79;6483.54;-4.84;0.2;-401475.83
4.1;38.48;-2.87;6440.55;-4.84;0.22;-398676.96
4.2;39.25;-2.94;6397.56;-4.84;0.24;-394562.71
4.3;40.17;-3.02;6354.54;-4.84;0.26;-390459.01
4.4;41.2;-3.09;6311.6;-4.84;0.3;-383374.85
4.5;42.31;-3.16;6268.82;-4.84;0.34;-376083.24
4.6;43.45;-3.23;6226.26;-4.84;0.39;-368412.93
4.7;44.58;-3.28;6183.93;-4.85;0.43;-360145.66
4.8;45.67;-3.33;6141.86;-4.85;0.48;-351206.48
4.9;46.69;-3.36;6100.15;-4.86;0.53;-341720.05
5;47.62;-3.38;6058.93;-4.86;0.58;-332066.92
5.1;48.44;-3.38;6018.37;-4.87;0.63;-322493.72
5.2;49.14;-3.37;5978.59;-4.88;0.68;-313543.69
5.3;49.73;-3.33;5939.72;-4.89;0.72;-304711.88
5.4;50.2;-3.27;5901.99;-4.9;0.76;-295999.87
5.5;50.57;-3.19;5865.53;-4.91;0.78;-291941.16
5.6;50.86;-3.09;5830.31;-4.93;0.78;-293388.54
5.7;51.09;-2.97;5796.25;-4.94;0.77;-298679.76
5.8;51.28;-2.82;5763.27;-4.96;0.75;-306582.12
5.9;51.46;-2.67;5731.31;-4.98;0.72;-316999.05
6;51.65;-2.49;5700.37;-4.99;0.69;-329649.99
6.1;51.86;-2.31;5670.5;-5.01;0.65;-343713.19
6.2;52.11;-2.12;5641.83;-5.03;0.61;-358714.18
6.3;52.42;-1.92;5614.49;-5.05;0.56;-374488.08
6.4;52.79;-1.73;5588.61;-5.08;0.52;-391043.36
6.5;53.21;-1.53;5564.26;-5.1;0.47;-408167.14
6.6;53.67;-1.34;5541.43;-5.12;0.43;-425338.25
6.7;54.17;-1.16;5519.97;-5.15;0.38;-443813.44
6.8;54.68;-0.97;5499.57;-5.17;0.33;-463364.67
6.9;55.18;-0.79;5480.02;-5.2;0.28;-482546.79
7;55.64;-0.62;5461.24;-5.22;0.23;-500353.96
7.1;56.04;-0.44;5443.26;-5.25;0.19;-517208.95
7.2;56.35;-0.27;5426.12;-5.27;0.15;-531529.31
7.3;56.54;-0.1;5409.94;-5.3;0.12;-541971.18
7.4;56.6;0.07;5394.84;-5.32;0.1;-550014.09
7.5;56.51;0.25;5380.83;-5.35;0.08;-555556.13
7.6;56.26;0.42;5367.87;-5.37;0.06;-558262
7.7;55.85;0.59;5355.84;-5.4;0.05;-558392.49
7.8;55.28;0.77;5344.55;-5.43;0.05;-556758
7.9;54.55;0.94;5333.78;-5.45;0.04;-554201.88
8;53.69;1.1;5323.45;-5.48;0.03;-550788.17
8.1;52.72;1.25;5313.72;-5.5;0.03;-544267.92
8.2;51.66;1.4;5304.95;-5.53;0.03;-535872.04
8.3;50.54;1.53;5297.42;-5.55;0.01;-530483.56
8.4;49.4;1.64;5291.19;-5.58;-0.01;-528154.14
8.5;48.25;1.74;5286.22;-5.6;-0.03;-527586.68
8.6;47.13;1.81;5282.41;-5.62;-0.05;-527384.35
8.7;46.06;1.87;5279.65;-5.65;-0.08;-528224.02
8.8;45.07;1.9;5277.82;-5.67;-0.1;-527258.68
8.9;44.18;1.91;5276.79;-5.69;-0.11;-524035.57
9;43.38;1.9;5276.55;-5.71;-0.11;-518994.92
9.1;42.69;1.87;5277.28;-5.72;-0.1;-513191.15
9.2;42.11;1.82;5279.3;-5.74;-0.09;-507166.32
9.3;41.62;1.76;5282.95;-5.76;-0.08;-501309.28
9.4;41.23;1.69;5288.43;-5.77;-0.06;-495888.14
9.5;40.92;1.6;5295.67;-5.79;-0.05;-491273.64
9.6;40.67;1.51;5304.4;-5.8;-0.05;-489601.04
9.7;40.46;1.41;5314.27;-5.81;-0.06;-490513.23
9.8;40.28;1.32;5325.01;-5.82;-0.06;-490648.15
9.9;40.12;1.21;5336.51;-5.83;-0.07;-492857.97
10;39.97;1.11;5348.74;-5.84;-0.08;-497082.45
10.1;39.8;1.01;5361.76;-5.85;-0.1;-502678.26
10.2;39.64;0.9;5375.66;-5.86;-0.12;-509197.33
10.3;39.46;0.79;5390.58;-5.86;-0.15;-516256.76
10.4;39.28;0.68;5406.63;-5.87;-0.17;-523501.77
10.5;39.11;0.57;5423.71;-5.87;-0.19;-530536.47
10.6;38.96;0.45;5441.56;-5.88;-0.22;-536998.35
10.7;38.84;0.33;5459.77;-5.88;-0.24;-543565.16
10.8;38.77;0.2;5477.93;-5.88;-0.26;-549258.81
10.9;38.76;0.06;5495.79;-5.88;-0.27;-554273.96
11;38.83;-0.08;5513.25;-5.88;-0.29;-558739.12
11.1;38.99;-0.22;5530.29;-5.88;-0.3;-563151.52
11.2;39.24;-0.36;5546.99;-5.88;-0.3;-567445.42
11.3;39.6;-0.5;5563.39;-5.88;-0.31;-571430.66
11.4;40.06;-0.63;5579.43;-5.88;-0.31;-575097.5
11.5;40.6;-0.75;5594.97;-5.88;-0.31;-578526.28
11.6;41.23;-0.86;5609.75;-5.88;-0.31;-581748.92
11.7;41.91;-0.95;5623.43;-5.87;-0.31;-584750.04
11.8;42.64;-1.03;5635.65;-5.87;-0.3;-587503.34
11.9;43.37;-1.09;5646.14;-5.87;-0.3;-589959.11
12;44.1;-1.13;5654.78;-5.87;-0.29;-592052.81
12.1;44.78;-1.14;5661.62;-5.86;-0.28;-593710.2
12.2;45.4;-1.14;5666.77;-5.86;-0.27;-594856.14
12.3;45.92;-1.11;5670.3;-5.86;-0.26;-595423.34
12.4;46.33;-1.07;5672.23;-5.86;-0.25;-595367.83
12.5;46.61;-1.02;5672.46;-5.86;-0.24;-594644.6
12.6;46.76;-0.95;5670.81;-5.86;-0.24;-593277.64
12.7;46.76;-0.86;5667.04;-5.86;-0.23;-591346.64
12.8;46.62;-0.77;5660.92;-5.86;-0.22;-588940.83
12.9;46.36;-0.67;5652.29;-5.86;-0.22;-586146.07
13;45.98;-0.57;5641.12;-5.86;-0.22;-583016.98
13.1;45.51;-0.46;5627.53;-5.86;-0.22;-579559.82
13.2;44.98;-0.34;5611.74;-5.86;-0.21;-575785.89
13.3;44.4;-0.23;5593.98;-5.86;-0.21;-571762.48
13.4;43.81;-0.11;5574.39;-5.87;-0.21;-567625.3
13.5;43.23;0.01;5552.99;-5.87;-0.21;-563516.76
13.6;42.7;0.13;5529.69;-5.87;-0.21;-559438.28
13.7;42.24;0.24;5504.38;-5.88;-0.21;-555146.32
13.8;41.86;0.35;5476.94;-5.88;-0.2;-550544.68
13.9;41.57;0.45;5447.36;-5.89;-0.2;-546154.61
14;41.39;0.54;5415.77;-5.89;-0.19;-542835.41
14.1;41.32;0.63;5382.41;-5.9;-0.19;-540884.84
14.2;41.34;0.7;5347.61;-5.9;-0.19;-540087.5
14.3;41.46;0.77;5311.71;-5.91;-0.19;-540502.2
14.4;41.65;0.82;5274.95;-5.91;-0.19;-542146.83
14.5;41.89;0.87;5237.44;-5.92;-0.2;-544841.61
14.6;42.17;0.91;5199.17;-5.92;-0.2;-548280.96
14.7;42.46;0.96;5160.09;-5.92;-0.21;-552118.6
14.8;42.74;1;5120.16;-5.93;-0.22;-556211.57
14.9;42.99;1.04;5079.46;-5.93;-0.23;-560253.61
15;43.2;1.09;5038.23;-5.93;-0.23;-563623.53
15.1;43.34;1.15;4996.84;-5.94;-0.24;-565869.36
15.2;43.4;1.22;4955.76;-5.94;-0.24;-567131.19
15.3;43.4;1.29;4915.34;-5.94;-0.24;-567928.92
15.4;43.32;1.38;4875.81;-5.93;-0.24;-568368.59
15.5;43.17;1.47;4837.21;-5.93;-0.25;-569452.08
15.6;42.97;1.56;4799.47;-5.93;-0.25;-570868.43
15.7;42.72;1.65;4762.5;-5.92;-0.25;-570325.1
15.8;42.44;1.73;4726.28;-5.92;-0.25;-567657.82
15.9;42.15;1.79;4690.88;-5.91;-0.24;-564300.11
16;41.87;1.84;4656.44;-5.9;-0.23;-560527.75
16.1;41.61;1.87;4623.26;-5.89;-0.22;-556517.9
16.2;41.38;1.88;4591.66;-5.88;-0.21;-552523.48
16.3;41.21;1.86;4561.89;-5.87;-0.19;-548757.02
16.4;41.09;1.81;4534.08;-5.85;-0.18;-545223.65
16.5;41.02;1.74;4508.14;-5.84;-0.17;-542514.87
16.6;41.02;1.64;4483.91;-5.82;-0.16;-539363.16
16.7;41.06;1.53;4461.08;-5.8;-0.15;-538204.06
16.8;41.15;1.39;4439.47;-5.79;-0.15;-537328.27
16.9;41.26;1.25;4419.15;-5.77;-0.14;-535270.71
17;41.39;1.1;4400.24;-5.75;-0.13;-533957.84
17.1;41.53;0.94;4382.87;-5.72;-0.13;-534351.97
17.2;41.64;0.78;4367.09;-5.7;-0.13;-537344.57
17.3;41.73;0.62;4352.9;-5.68;-0.14;-540234.53
17.4;41.78;0.46;4340.31;-5.65;-0.15;-543229.55
17.5;41.77;0.3;4329.18;-5.63;-0.16;-546554.69
17.6;41.71;0.13;4319.24;-5.6;-0.17;-550159.06
17.7;41.58;-0.04;4310.17;-5.58;-0.18;-553819.35
17.8;41.4;-0.2;4301.7;-5.55;-0.2;-557313.12
17.9;41.16;-0.37;4293.7;-5.53;-0.21;-559579.15
18;40.87;-0.54;4286.2;-5.5;-0.22;-562421.86
18.1;40.55;-0.7;4279.31;-5.47;-0.24;-565263.91
18.2;40.21;-0.85;4273.11;-5.44;-0.25;-567556.15
18.3;39.87;-0.99;4267.57;-5.41;-0.27;-569247.86
18.4;39.53;-1.11;4262.49;-5.38;-0.28;-570070.71
18.5;39.22;-1.21;4257.62;-5.36;-0.28;-570141.34
18.6;38.95;-1.29;4252.68;-5.33;-0.29;-569092.64
18.7;38.74;-1.33;4247.41;-5.3;-0.29;-566735.48
18.8;38.58;-1.35;4241.56;-5.27;-0.28;-563602.59
18.9;38.49;-1.33;4234.95;-5.24;-0.28;-560073.52
19;38.48;-1.28;4227.56;-5.21;-0.27;-556213.14
19.1;38.55;-1.21;4219.5;-5.18;-0.26;-552110.68
19.2;38.69;-1.12;4210.91;-5.15;-0.25;-547845.41
19.3;38.9;-1.01;4201.88;-5.13;-0.24;-543452.03
19.4;39.18;-0.89;4192.33;-5.1;-0.23;-538845.19
19.5;39.53;-0.78;4182.08;-5.07;-0.21;-534046.04
19.6;39.93;-0.67;4170.88;-5.04;-0.2;-529675.44
19.7;40.39;-0.58;4158.46;-5.02;-0.19;-526292.66
19.8;40.9;-0.51;4144.63;-4.99;-0.18;-523945.96
19.9;41.46;-0.46;4129.34;-4.97;-0.17;-522149.09
20;42.07;-0.43;4112.65;-4.94;-0.16;-520527.37
20.1;42.71;-0.43;4094.73;-4.92;-0.15;-518821.17
20.2;43.4;-0.45;4075.78;-4.89;-0.14;-516821.56
20.3;44.13;-0.49;4055.98;-4.87;-0.12;-514363.22
20.4;44.89;-0.54;4035.42;-4.85;-0.11;-511296.04
20.5;45.69;-0.6;4014.05;-4.82;-0.09;-507518.56
20.6;46.51;-0.66;3991.74;-4.8;-0.06;-503011.35
20.7;47.36;-0.72;3968.3;-4.78;-0.04;-497888.97
20.8;48.23;-0.77;3943.65;-4.76;-0.01;-492371.92
20.9;49.09;-0.82;3917.79;-4.74;0.02;-486595.52
21;49.93;-0.85;3890.91;-4.72;0.05;-480667.58
21.1;50.73;-0.86;3863.3;-4.7;0.08;-474784.61
21.2;51.48;-0.87;3835.29;-4.68;0.11;-469176.37
21.3;52.15;-0.86;3807.2;-4.66;0.13;-463793.22
21.4;52.71;-0.84;3779.27;-4.64;0.16;-458237.42
21.5;53.14;-0.81;3751.51;-4.62;0.17;-454143.39
21.6;53.43;-0.77;3723.77;-4.6;0.18;-451658.93
21.7;53.55;-0.73;3695.86;-4.59;0.19;-449233.9
21.8;53.49;-0.69;3667.72;-4.57;0.19;-446126.82
21.9;53.24;-0.65;3639.41;-4.55;0.19;-441534.32
22;52.81;-0.61;3611.15;-4.53;0.2;-434941.27
22.1;52.2;-0.57;3583.29;-4.52;0.21;-426756.94
22.2;51.42;-0.53;3556.16;-4.5;0.22;-417214.42
22.3;50.5;-0.51;3530.09;-4.48;0.23;-406583.54
22.4;49.47;-0.48;3505.23;-4.46;0.24;-395182.1
22.5;48.36;-0.46;3481.61;-4.44;0.25;-383250.62
22.6;47.21;-0.45;3459.08;-4.42;0.26;-370887.6
22.7;46.07;-0.45;3437.42;-4.41;0.27;-358203.29
22.8;44.99;-0.45;3416.44;-4.39;0.29;-345797.55
22.9;43.99;-0.45;3396.26;-4.37;0.31;-331740.56
23;43.12;-0.46;3377.13;-4.35;0.33;-319518.49
23.1;42.42;-0.47;3359.28;-4.33;0.34;-309383.36
23.2;41.9;-0.48;3342.94;-4.31;0.36;-301991.04
23.3;41.59;-0.49;3328.25;-4.29;0.37;-295351.99
23.4;41.48;-0.49;3315.24;-4.27;0.39;-289944.24
23.5;41.58;-0.49;3303.82;-4.25;0.4;-286023.97
23.6;41.87;-0.49;3293.82;-4.23;0.42;-283377.1
23.7;42.32;-0.48;3285.03;-4.21;0.43;-281994.79
23.8;42.89;-0.47;3277.31;-4.2;0.45;-281773.48
23.9;43.55;-0.45;3270.64;-4.18;0.46;-282481.02
24;44.24;-0.42;3265.13;-4.16;0.47;-283805.26
24.1;44.92;-0.4;3260.98;-4.14;0.48;-285410.6
24.2;45.54;-0.37;3258.29;-4.12;0.49;-286961.46
24.3;46.04;-0.35;3257.04;-4.11;0.5;-288080.1
24.4;46.39;-0.34;3257.07;-4.09;0.5;-288306.19
24.5;46.56;-0.33;3258.12;-4.07;0.51;-287545.86
24.6;46.53;-0.34;3259.96;-4.06;0.52;-285528.18
24.7;46.28;-0.37;3262.41;-4.04;0.52;-282104.05
24.8;45.81;-0.4;3265.33;-4.03;0.53;-277397.97
24.9;45.15;-0.45;3268.62;-4.02;0.53;-271726.7
25;44.33;-0.52;3272.3;-4.01;0.54;-266061.25
25.1;43.37;-0.59;3276.46;-4;0.54;-258857.75
25.2;42.34;-0.67;3281.19;-3.99;0.54;-250915.87
25.3;41.28;-0.75;3286.56;-3.98;0.55;-242565.56
25.4;40.25;-0.83;3292.49;-3.97;0.55;-233781.72
25.5;39.32;-0.91;3298.84;-3.97;0.56;-224866.81
25.6;38.55;-0.97;3305.47;-3.96;0.57;-216064
25.7;37.98;-1.02;3312.3;-3.96;0.58;-207569.28
25.8;37.67;-1.06;3319.36;-3.95;0.6;-199526.5
25.9;37.64;-1.08;3326.76;-3.95;0.62;-192011.01
26;37.91;-1.08;3334.68;-3.95;0.64;-184989.9
26.1;38.5;-1.06;3343.31;-3.95;0.66;-178330.69
26.2;39.39;-1.02;3352.85;-3.95;0.69;-171855.34
26.3;40.55;-0.97;3363.49;-3.95;0.73;-164959.12
26.4;41.97;-0.9;3375.32;-3.95;0.77;-158369.92
26.5;43.57;-0.82;3388.35;-3.96;0.81;-155123.1
26.6;45.32;-0.73;3402.47;-3.96;0.85;-152807.15
26.7;47.14;-0.62;3417.66;-3.97;0.89;-150942.26
26.8;48.96;-0.5;3433.94;-3.97;0.93;-149783.91
26.9;50.71;-0.36;3451.46;-3.98;0.97;-149350.12
27;52.34;-0.21;3470.4;-3.99;1.01;-150020.03
27.1;53.77;-0.05;3490.97;-3.99;1.04;-152399.4
27.2;54.96;0.12;3513.32;-4;1.06;-156371.95
27.3;55.86;0.32;3537.54;-4.01;1.07;-162006.26
27.4;56.46;0.52;3563.63;-4.03;1.06;-169685.53
27.5;56.73;0.74;3591.47;-4.04;1.04;-179538.19
27.6;56.67;0.96;3620.87;-4.05;1;-190785.49
27.7;56.3;1.2;3651.62;-4.07;0.95;-203697.19
27.8;55.65;1.44;3683.56;-4.09;0.89;-218121.2
27.9;54.74;1.68;3716.61;-4.1;0.82;-234622.61
28;53.64;1.92;3750.73;-4.12;0.72;-255330.39
28.1;52.39;2.15;3785.93;-4.14;0.62;-277096.35
28.2;51.04;2.38;3822.24;-4.16;0.52;-298894.57
28.3;49.66;2.6;3859.62;-4.18;0.41;-321058.73
28.4;48.31;2.8;3897.95;-4.2;0.31;-343643.46
28.5;47.03;3;3937.02;-4.23;0.2;-366493.8
28.6;45.87;3.18;3976.6;-4.25;0.1;-389249.16
28.7;44.86;3.35;4016.45;-4.27;0;-411690.17
28.8;44.05;3.51;4056.38;-4.29;-0.09;-433618.47
28.9;43.44;3.66;4096.27;-4.31;-0.17;-454866.88
29;43.05;3.8;4136.07;-4.33;-0.25;-475303.57
29.1;42.87;3.93;4175.81;-4.35;-0.32;-494783.45
29.2;42.9;4.05;4215.55;-4.37;-0.39;-512918.23
29.3;43.12;4.16;4255.33;-4.38;-0.44;-529621.45
29.4;43.5;4.26;4295.16;-4.4;-0.49;-544896.19
29.5;44.01;4.35;4335;-4.41;-0.53;-558616.28
29.6;44.62;4.43;4374.76;-4.43;-0.56;-570567.48
29.7;45.31;4.49;4414.41;-4.44;-0.59;-580638.9
29.8;46.03;4.54;4453.85;-4.45;-0.61;-590393.57
29.9;46.75;4.57;4493.08;-4.46;-0.63;-599646.69
30;47.45;4.59;4532.14;-4.47;-0.64;-608347.32
30.1;48.1;4.58;4571.18;-4.47;-0.66;-616495.39
30.2;48.67;4.56;4610.3;-4.48;-0.67;-624046.66
30.3;49.16;4.52;4649.64;-4.48;-0.69;-631257.42
30.4;49.53;4.47;4689.26;-4.48;-0.7;-638416.26
30.5;49.79;4.4;4729.18;-4.48;-0.72;-645400.04
30.6;49.92;4.31;4769.36;-4.47;-0.74;-652504.69
30.7;49.93;4.21;4809.73;-4.47;-0.76;-659588.67
30.8;49.8;4.11;4850.25;-4.46;-0.79;-666323.87
30.9;49.54;3.99;4890.89;-4.45;-0.81;-672603.63
31;49.16;3.87;4931.65;-4.43;-0.84;-678249.19
31.1;48.65;3.73;4972.56;-4.42;-0.86;-683056.79
31.2;48.01;3.6;5013.66;-4.4;-0.89;-686978.38
31.3;47.26;3.45;5054.97;-4.38;-0.91;-690130.67
31.4;46.39;3.3;5096.45;-4.36;-0.94;-692912.84
31.5;45.42;3.15;5137.97;-4.34;-0.96;-695958.3
31.6;44.36;2.99;5179.32;-4.31;-0.99;-698886.48
31.7;43.2;2.83;5220.32;-4.28;-1.02;-701486.85
31.8;41.98;2.66;5260.77;-4.25;-1.05;-703832.96
31.9;40.7;2.49;5300.56;-4.22;-1.08;-706005.89
32;39.38;2.31;5339.6;-4.18;-1.11;-708074.88
32.1;38.04;2.13;5377.87;-4.15;-1.14;-710097.25
32.2;36.7;1.94;5415.31;-4.11;-1.16;-712116.05
32.3;35.39;1.74;5451.84;-4.07;-1.19;-714147.97
32.4;34.14;1.54;5487.32;-4.03;-1.22;-716140.45
32.5;32.96;1.33;5521.53;-3.98;-1.24;-718065.8
32.6;31.88;1.11;5554.21;-3.94;-1.26;-719943.66
32.7;30.94;0.89;5585.09;-3.89;-1.28;-721664.31
32.8;30.13;0.65;5613.95;-3.84;-1.3;-722436.42
32.9;29.49;0.41;5640.66;-3.79;-1.31;-720995.09
33;29.02;0.16;5665.19;-3.74;-1.3;-717484.52
33.1;28.73;-0.09;5687.54;-3.69;-1.29;-711933.58
33.2;28.62;-0.35;5707.71;-3.63;-1.27;-704396.14
33.3;28.69;-0.61;5725.6;-3.58;-1.24;-694942.28
33.4;28.92;-0.87;5741.06;-3.52;-1.21;-683657.05
33.5;29.29;-1.13;5753.9;-3.46;-1.16;-670625.91
33.6;29.79;-1.39;5763.91;-3.41;-1.11;-655980.85
33.7;30.39;-1.64;5770.88;-3.35;-1.05;-639895.73
33.8;31.07;-1.88;5774.69;-3.29;-0.99;-622587.93
33.9;31.79;-2.12;5775.28;-3.23;-0.92;-604296
34;32.52;-2.35;5772.72;-3.17;-0.85;-585044.59
34.1;33.26;-2.57;5767.12;-3.11;-0.78;-565101.88
34.2;33.96;-2.79;5758.58;-3.05;-0.71;-545198.48
34.3;34.62;-3;5747.11;-2.99;-0.64;-525593.92
34.4;35.21;-3.22;5732.64;-2.94;-0.57;-505396.78
34.5;35.74;-3.44;5715.07;-2.88;-0.5;-485185.47
34.6;36.21;-3.66;5694.26;-2.82;-0.43;-465079.3
34.7;36.61;-3.88;5670.11;-2.77;-0.37;-445232.57
34.8;36.95;-4.11;5642.61;-2.71;-0.3;-425843.54
34.9;37.26;-4.35;5611.83;-2.66;-0.24;-407085.66
35;37.54;-4.58;5577.89;-2.61;-0.18;-388641.22
35.1;37.82;-4.82;5540.98;-2.56;-0.12;-370263.66
35.2;38.11;-5.05;5501.25;-2.51;-0.07;-352049.3
35.3;38.43;-5.28;5458.8;-2.46;-0.01;-333452.75
35.4;38.8;-5.5;5413.68;-2.42;0.06;-314064.88
35.5;39.22;-5.7;5365.86;-2.38;0.12;-294055.89
35.6;39.7;-5.88;5315.3;-2.34;0.19;-273741.29
35.7;40.24;-6.05;5261.98;-2.3;0.26;-253581.39
35.8;40.83;-6.19;5205.96;-2.26;0.33;-233714.35
35.9;41.46;-6.3;5147.41;-2.22;0.4;-214418.11
36;42.11;-6.39;5086.6;-2.19;0.47;-196138.79
36.1;42.76;-6.46;5023.81;-2.16;0.53;-180839.43
36.2;43.38;-6.51;4959.52;-2.13;0.57;-166833.26
36.3;43.95;-6.53;4893.99;-2.1;0.6;-158747.95
36.4;44.42;-6.54;4826.81;-2.08;0.6;-162206.77
36.5;44.78;-6.53;4757.76;-2.06;0.58;-168771.44
36.6;45.01;-6.5;4686.87;-2.04;0.56;-175485.32
36.7;45.07;-6.46;4614.35;-2.02;0.54;-179628.52
36.8;44.95;-6.41;4540.45;-2;0.53;-180613.18
36.9;44.65;-6.34;4465.49;-1.99;0.53;-177948.98
37;44.18;-6.26;4389.8;-1.98;0.54;-171397.03
37.1;43.53;-6.16;4313.75;-1.97;0.55;-162099.28
37.2;42.73;-6.05;4237.61;-1.96;0.57;-151382.6
37.3;41.79;-5.92;4161.47;-1.95;0.58;-140515.99
37.4;40.77;-5.77;4085.24;-1.94;0.6;-129806.85
37.5;39.68;-5.6;4008.75;-1.94;0.61;-119267.96
37.6;38.57;-5.42;3932.12;-1.94;0.63;-106206.35
37.7;37.48;-5.22;3855.62;-1.93;0.64;-94039.34
37.8;36.46;-5;3779.69;-1.93;0.66;-82436.81
37.9;35.54;-4.78;3704.97;-1.94;0.68;-69325.43
38;34.76;-4.55;3632.04;-1.94;0.71;-54424.7
38.1;34.16;-4.32;3561.15;-1.94;0.75;-38429.74
38.2;33.75;-4.08;3492.33;-1.95;0.8;-20707.33
38.3;33.55;-3.85;3425.55;-1.95;0.86;-3440.96
38.4;33.57;-3.62;3360.88;-1.96;0.91;-13461.08
38.5;33.8;-3.4;3298.43;-1.97;0.96;-27703.85
38.6;34.24;-3.19;3238.39;-1.98;1;-39784.54
38.7;34.86;-2.99;3181.15;-1.99;1.05;-50205.99
38.8;35.62;-2.79;3127.23;-2;1.09;-59198.78
38.9;36.51;-2.6;3077.17;-2.01;1.13;-67583.32
39;37.48;-2.42;3031.39;-2.02;1.17;-76201.26
39.1;38.49;-2.25;2990.1;-2.03;1.22;-84936.15
39.2;39.49;-2.08;2953.32;-2.05;1.26;-94108.39
39.3;40.45;-1.91;2920.98;-2.06;1.31;-102907.63
39.4;41.31;-1.76;2892.92;-2.08;1.35;-110227.62
39.5;42.06;-1.61;2869.07;-2.1;1.38;-115942.24
39.6;42.65;-1.47;2849.51;-2.12;1.41;-119954.39
39.7;43.06;-1.34;2834.43;-2.14;1.42;-122481.26
39.8;43.27;-1.22;2824.11;-2.16;1.43;-123941.38
39.9;43.29;-1.12;2818.79;-2.18;1.44;-124915.02
40;43.09;-1.03;2818.63;-2.2;1.44;-125603.19
40.1;42.7;-0.96;2823.64;-2.22;1.44;-125740.6
40.2;42.12;-0.91;2833.74;-2.24;1.43;-125718.63
40.3;41.38;-0.86;2848.67;-2.27;1.42;-125816.15
40.4;40.5;-0.83;2868.15;-2.29;1.41;-126019.01
40.5;39.5;-0.81;2891.93;-2.32;1.4;-126045.99
40.6;38.43;-0.8;2919.86;-2.34;1.38;-125495.86
40.7;37.31;-0.78;2951.92;-2.37;1.36;-124711.78
40.8;36.17;-0.76;2988.18;-2.4;1.35;-124246.96
40.9;35.06;-0.74;3028.67;-2.43;1.34;-122953.95
41;34.01;-0.7;3073.36;-2.46;1.31;-119188.69
41.1;33.03;-0.65;3122.09;-2.49;1.28;-113138.25
41.2;32.16;-0.58;3174.6;-2.52;1.25;-104790.43
41.3;31.41;-0.49;3230.52;-2.55;1.21;-94130.21
41.4;30.81;-0.39;3289.52;-2.58;1.16;-81248.15
41.5;30.35;-0.26;3351.32;-2.62;1.11;-66322.76
41.6;30.06;-0.12;3415.77;-2.65;1.05;-49588.82
41.7;29.91;0.04;3482.82;-2.69;0.99;-31272.37
41.8;29.91;0.21;3552.56;-2.72;0.93;-11629.06
41.9;30.06;0.39;3625.05;-2.76;0.86;-9857.59
42;30.33;0.58;3700.29;-2.79;0.79;-32106.4
42.1;30.71;0.78;3778.15;-2.83;0.72;-55037.75
